GENE	08-12-12-13	08-19-02-10	08-19-02-30	08-19-02-46	08-19-02-61	08-31-08-91	08-36-03-25	09-7500806	10-01-02-27	12-7504462	12-7504652	12-7505054	12-7505220	12-7505446	AF210	AF41	AF72	AF90	A_fumigatus_v67-36	A_fumigatus_v67-37	Af293	Af65	Afu_1042-09	Afu_124-E11	Afu_166-E11	Afu_218-E11	Afu_257-E11	Afu_343-P-11	Afu_591-12	Afu_942-09	B5852	B5854	B5856	B5859	B5863	B5866	B5868	B6069	B6074	B6078	B6079	B6081	F11628	F12041	F12219	F12636	F12865	F13535	F13619	F13952	F14403	F14513G	F14532	F14946G	F15390	F15767	F15927	F16311	F17582	F17729	F17729W	F17764	F18085	F18149	F5211G	F7763	IFM_55369	IFM_58026	IFM_58029	IFM_58401	IFM_59056	IFM_59073	IFM_59355-1	IFM_59355-2	IFM_59356-1	IFM_59356-2	IFM_59356-3	IFM_59359	IFM_59361	IFM_59361-1	IFM_59361-2	IFM_59365	IFM_59777	IFM_60237	IFM_60514	IFM_61118	IFM_61407	IFM_61578	IFM_61610	IFM_62115	IFM_62516	NCPF-7811	NCPF-7816	NCPF-7820	NCPF-7822
AFUB_098170	86.19	88.03	117.89	100.51	108.54	98.63	111.15	118.89	104.35	136.39	103.48	117.93	110.18	129.16	46.61	64.68	63.01	57.94	8.73	13.02	151.66	183.29	111.96	126.58	109.98	106.13	90.52	97.87	95.71	109.00	42.02	44.22	44.25	38.09	40.59	43.14	39.21	44.66	39.92	30.96	41.72	20.26	33.62	43.99	69.21	58.08	29.02	41.84	64.32	39.19	70.58	45.34	57.00	59.12	54.32	26.71	59.57	58.35	50.56	49.73	41.86	52.61	62.34	14.25	79.04	263.93	14.83	3.89	9.72	7.81	21.01	17.19	13.84	16.24	12.76	6.44	14.79	14.83	11.91	34.33	37.68	5.63	8.33	17.80	19.44	10.35	19.44	4.30	14.89	0.00	4.64	39.98	51.02	29.30	32.67
AFUB_098180	104.46	116.64	138.11	123.67	125.80	119.39	127.56	131.32	129.23	145.75	120.31	143.92	129.09	150.46	61.86	69.76	74.85	62.13	9.37	15.59	163.93	190.77	122.41	142.68	124.14	135.78	93.74	119.14	115.60	123.97	42.22	41.75	40.31	37.69	41.10	41.16	35.93	43.25	39.25	28.15	44.46	20.76	35.83	45.26	70.29	63.90	29.13	50.05	68.50	44.34	73.25	45.13	59.51	58.86	58.77	26.91	61.84	60.86	61.35	56.90	47.38	60.91	66.95	19.15	84.07	291.46	21.07	6.40	11.45	6.74	20.60	22.53	14.85	17.89	12.08	5.59	17.83	21.07	15.29	31.23	33.46	6.57	6.88	21.82	23.05	9.17	23.05	7.79	18.97	0.04	9.52	34.78	46.41	27.21	33.11
AFUB_098190	95.85	122.02	128.59	126.34	127.11	119.26	126.24	129.07	113.10	142.37	116.25	141.43	123.95	144.04	52.23	58.42	66.64	64.47	8.91	14.68	149.92	175.97	123.08	143.18	117.29	129.08	93.70	114.02	107.30	119.44	41.03	40.16	40.87	34.93	41.67	41.19	36.29	41.90	38.54	29.47	46.66	20.44	33.27	42.87	61.66	57.76	29.40	42.44	61.75	32.57	70.29	43.40	58.90	53.85	48.45	25.03	60.47	58.82	55.59	59.32	42.03	54.19	52.31	17.91	81.13	253.69	19.43	5.31	9.11	6.33	20.40	21.25	9.58	14.86	15.37	4.34	14.24	19.43	15.57	30.46	28.97	6.33	10.24	18.34	20.62	7.25	20.62	5.86	20.01	0.04	6.77	34.78	41.20	24.72	29.77
AFUB_098200	109.70	139.22	142.09	135.94	154.19	142.27	136.60	136.77	135.88	147.69	131.50	159.99	144.85	157.73	65.85	65.96	78.46	64.55	9.64	15.05	155.46	185.56	142.23	152.74	134.49	143.17	103.56	120.91	123.81	132.48	36.86	37.00	36.76	35.52	39.24	39.63	37.97	42.19	34.88	26.99	44.17	18.74	35.09	48.82	72.92	63.71	32.11	51.04	71.65	42.54	75.78	50.30	59.00	62.38	59.45	28.19	63.84	64.88	58.59	64.14	50.20	60.29	60.99	19.72	84.42	299.85	24.13	4.53	11.39	7.15	23.58	26.94	10.20	19.09	12.74	4.40	13.01	24.13	16.30	33.95	35.42	6.90	7.05	18.42	22.23	8.63	22.23	5.63	22.52	0.08	7.25	31.94	45.51	23.44	32.18
AFUB_098210	109.73	139.57	134.55	146.21	136.65	139.58	126.34	129.53	132.74	139.27	122.06	153.31	135.73	151.83	71.54	66.48	79.83	61.24	11.09	15.16	143.77	184.24	141.57	149.74	129.21	141.59	100.65	123.08	106.11	137.61	35.46	35.11	35.40	34.71	32.60	31.13	33.55	40.55	33.28	24.70	37.97	17.20	29.87	42.32	69.18	59.16	28.45	46.92	65.59	42.86	60.02	45.43	61.44	56.71	70.78	23.76	67.86	66.17	53.09	56.47	45.32	61.77	56.14	18.21	77.36	279.20	14.30	8.72	11.82	7.85	22.34	29.92	15.16	13.13	10.09	7.45	24.54	14.30	16.40	36.09	29.58	6.52	7.19	16.33	29.39	8.67	29.39	3.62	22.15	0.00	6.21	29.45	44.31	25.88	29.83
AFUB_098220	102.16	151.91	135.77	149.83	144.75	140.93	128.06	120.21	133.27	132.60	121.67	150.45	138.07	141.12	55.62	64.22	74.74	51.61	8.59	11.89	147.09	177.62	121.40	153.80	121.98	133.68	96.68	115.41	122.97	137.20	25.41	24.90	21.28	24.89	26.01	30.69	23.65	29.19	20.48	16.67	29.64	10.80	26.90	38.29	65.28	52.95	24.09	50.58	69.20	37.62	61.68	51.13	49.50	50.41	54.29	22.59	62.12	51.05	52.66	47.28	38.83	53.53	69.18	13.33	81.70	260.50	14.93	8.36	8.99	7.07	21.79	27.29	11.06	16.21	10.69	2.69	22.21	14.93	13.11	32.64	26.05	6.49	9.95	12.75	21.09	16.58	21.09	3.73	23.53	0.00	6.14	21.15	31.97	14.73	26.81
AFUB_098230	115.84	175.23	150.08	164.10	171.21	155.42	152.99	146.98	149.32	158.32	151.67	170.36	166.65	180.14	65.91	68.70	78.35	64.74	9.99	16.88	162.80	202.26	153.46	174.07	149.28	162.32	116.66	135.38	132.76	153.68	40.49	42.89	41.93	38.90	39.87	43.76	38.09	44.50	40.66	31.96	45.88	20.92	37.02	48.54	73.53	62.68	33.10	51.23	71.95	43.56	78.50	51.29	61.33	62.08	61.03	30.49	64.39	66.91	60.57	60.32	49.42	61.63	65.06	17.35	87.28	301.91	26.10	5.79	10.76	7.14	27.48	35.70	12.10	18.24	12.24	4.96	15.34	26.10	17.69	34.72	33.50	6.92	8.53	20.68	24.38	9.68	24.38	6.81	22.04	0.07	7.31	36.78	48.91	25.97	35.27
AFUB_098240	121.38	175.90	149.43	152.50	162.04	148.85	147.02	134.66	146.26	151.26	138.46	169.02	140.69	151.87	62.93	70.40	83.47	67.58	10.01	17.23	147.41	189.85	141.49	151.34	136.61	150.75	111.99	129.68	130.14	145.14	39.00	39.22	36.87	37.61	36.11	42.12	37.63	44.42	35.86	28.83	43.42	17.29	33.79	44.20	69.00	56.44	26.58	47.82	74.99	44.93	72.39	45.84	51.03	61.76	62.96	25.86	67.16	64.49	59.46	52.83	50.90	55.82	57.15	22.83	88.95	272.58	22.17	8.95	9.70	10.02	21.37	28.76	14.40	20.68	8.48	8.16	20.57	22.17	19.90	39.01	35.03	5.16	12.76	17.75	22.12	11.57	22.12	5.11	20.88	0.00	5.09	30.63	41.99	23.99	33.59
AFUB_098250	125.60	179.13	155.01	171.54	183.01	153.49	153.22	134.86	148.88	153.88	153.02	158.10	165.87	186.46	68.11	67.45	74.26	65.30	10.15	16.86	157.28	200.07	171.13	178.12	151.26	153.77	121.00	142.03	132.80	157.08	39.86	43.29	41.89	39.13	41.87	43.47	42.57	44.01	42.21	30.16	49.39	19.51	39.17	54.56	74.76	64.57	32.70	52.04	70.93	40.10	76.15	49.07	60.52	67.24	62.07	28.93	69.80	64.13	58.76	62.22	49.97	62.15	62.36	23.63	92.10	290.15	23.95	5.21	11.38	5.51	24.70	25.97	10.71	21.10	12.36	3.27	15.49	23.95	18.93	34.54	34.17	5.84	8.34	17.50	20.83	8.42	20.83	8.10	24.43	0.15	7.55	38.96	50.13	28.21	38.03
AFUB_098260	115.79	159.28	145.05	154.00	164.26	136.80	150.99	140.92	144.35	145.65	141.50	158.97	147.51	168.03	58.13	62.73	74.12	63.46	8.79	14.47	154.08	184.59	132.06	163.07	135.94	149.18	108.63	131.86	124.75	144.56	28.75	30.53	29.98	29.74	33.07	35.51	28.82	35.19	32.93	20.93	35.93	15.96	31.59	43.42	64.71	59.39	27.39	47.56	67.03	43.31	73.04	46.74	59.99	60.71	55.74	27.27	64.21	59.43	54.54	55.45	48.57	53.65	62.70	21.38	84.06	279.64	27.20	7.18	11.35	8.60	24.63	28.39	11.92	18.75	11.31	5.09	13.48	27.20	14.27	31.47	30.06	5.65	9.09	18.43	22.60	9.15	22.60	7.33	20.41	0.02	6.41	23.59	36.72	17.28	25.66
AFUB_098270	113.24	167.87	143.95	164.11	163.94	146.14	149.02	130.33	145.05	146.59	142.45	165.26	154.94	174.12	65.29	65.04	77.57	65.36	10.35	16.02	157.06	180.79	136.52	160.42	141.14	153.52	108.00	120.47	123.69	139.78	35.95	33.94	34.28	34.83	35.32	38.80	34.19	40.60	34.45	27.12	40.70	18.10	31.31	47.53	72.87	59.11	28.90	48.09	67.97	41.02	74.70	50.24	62.45	62.31	60.71	26.62	61.40	64.69	59.62	58.29	46.39	62.88	62.27	18.77	86.70	272.05	19.84	9.04	12.59	9.82	21.55	27.27	14.24	17.62	11.35	6.64	19.96	19.84	18.41	31.99	30.30	8.39	9.75	18.45	23.27	9.88	23.27	8.21	19.06	0.13	7.22	28.15	41.33	20.49	32.04
AFUB_098280	105.56	163.79	142.47	156.66	161.99	146.10	146.30	130.83	143.42	141.60	133.14	151.67	147.82	162.35	66.31	68.03	76.14	66.79	9.48	15.71	154.19	188.77	141.28	162.56	140.43	149.80	106.19	126.12	122.79	146.73	37.09	37.75	37.12	37.00	37.72	38.48	33.92	41.07	35.51	27.53	41.27	19.78	34.32	49.56	72.29	60.19	32.44	51.61	71.21	43.04	77.27	49.69	59.24	66.34	60.27	29.10	63.46	67.78	54.47	58.54	48.45	56.68	62.52	21.41	81.39	293.73	25.66	6.69	11.56	7.23	29.61	31.61	11.71	17.66	12.38	4.47	13.29	25.66	17.46	32.75	36.93	5.13	8.79	20.38	22.52	10.11	22.52	6.69	23.60	0.12	7.80	33.54	43.05	22.53	31.65
AFUB_098290	107.24	161.43	134.46	155.07	161.33	146.64	144.34	128.90	143.03	143.37	129.78	152.27	141.17	164.69	64.57	63.81	75.12	68.42	9.26	15.82	155.06	184.23	141.02	163.10	138.16	148.85	104.59	126.21	122.48	140.08	35.37	38.78	38.93	35.09	37.26	39.56	35.60	40.67	37.09	26.82	43.17	19.88	34.19	47.28	70.22	59.12	31.55	50.58	72.86	42.98	79.53	46.86	59.48	65.17	56.68	28.26	66.48	65.81	55.38	59.79	48.00	57.26	65.68	18.49	84.01	282.20	21.09	3.98	9.79	5.88	23.37	27.82	9.99	17.28	13.96	2.84	13.01	21.09	17.47	31.08	30.83	7.29	5.89	18.23	19.23	10.35	19.23	4.79	22.60	0.02	5.45	34.40	45.45	26.73	33.91
AFUB_098300	109.90	176.30	146.03	164.24	168.08	145.65	149.91	130.81	146.86	140.26	134.87	156.89	152.38	166.09	64.92	67.98	78.48	67.54	9.40	17.08	149.74	191.58	153.78	164.29	140.11	156.06	107.49	122.90	125.82	140.71	36.36	38.86	38.36	36.97	41.94	42.54	32.97	41.08	40.59	26.39	39.70	20.09	38.02	53.94	70.59	67.62	32.74	50.04	76.61	39.79	80.08	48.85	61.70	65.47	71.46	27.86	66.96	60.64	64.67	62.16	51.74	67.10	73.10	20.80	82.99	297.04	18.73	7.11	12.55	8.36	23.15	29.17	13.67	19.52	11.97	3.37	21.27	18.73	16.71	28.38	29.41	7.66	7.86	13.00	26.76	12.81	26.76	5.60	19.41	0.20	6.65	30.06	43.41	22.20	29.70
AFUB_098310	108.20	171.08	148.55	157.54	166.64	155.71	149.58	134.63	147.96	148.69	142.99	158.77	154.34	168.61	67.59	66.60	79.80	65.58	9.21	16.21	164.37	190.53	142.58	169.77	139.55	159.56	115.50	131.26	129.43	145.60	34.88	37.19	37.09	34.37	38.36	42.50	34.24	41.91	36.26	29.26	41.50	19.20	37.99	48.76	70.31	63.88	32.36	49.57	66.07	48.15	77.40	44.37	61.39	62.39	59.73	28.67	64.12	64.93	58.17	61.44	45.21	58.99	62.75	19.12	82.79	285.97	22.11	6.22	12.61	8.42	26.43	30.19	15.88	16.09	13.22	7.30	19.59	22.11	15.12	41.93	36.52	8.67	8.65	28.78	24.08	9.70	24.08	6.87	23.78	0.05	8.50	33.86	46.44	22.52	32.40
AFUB_098320	106.07	171.58	140.30	156.20	167.34	149.27	144.88	135.93	146.45	146.93	140.97	160.78	151.71	168.17	65.28	68.71	78.97	63.99	10.24	16.11	155.15	188.20	135.24	157.13	137.66	150.57	106.36	124.13	123.53	143.37	32.55	35.09	32.25	32.93	35.26	37.42	31.34	37.78	32.46	25.21	38.20	19.50	32.93	51.83	76.78	62.58	28.22	47.50	69.00	46.16	77.27	50.17	64.98	56.03	64.80	27.24	62.15	60.39	56.77	63.72	48.10	64.26	62.99	19.52	87.76	293.80	23.59	7.48	13.32	9.01	26.94	26.62	11.89	16.41	13.14	4.40	20.89	23.59	16.13	32.27	35.95	6.39	6.92	16.50	25.50	13.45	25.50	6.55	20.85	0.24	7.02	29.96	40.78	22.01	31.04
AFUB_098330	112.48	169.48	142.95	158.80	165.64	148.28	144.62	131.46	144.98	147.18	142.08	159.58	153.07	167.56	66.93	65.51	80.11	67.33	9.81	16.38	150.03	187.66	132.73	156.62	144.07	152.95	107.84	126.45	122.75	138.72	34.70	36.28	32.17	33.88	34.26	37.89	31.37	37.88	34.39	23.57	39.30	18.39	32.71	48.10	69.76	60.71	30.20	49.06	70.06	46.06	78.18	46.84	61.33	62.46	64.29	29.62	63.72	66.95	58.50	63.33	48.15	58.62	63.48	19.09	81.32	286.63	21.20	8.87	12.27	9.51	24.68	31.43	13.68	16.88	11.62	5.83	20.40	21.20	20.62	34.99	35.44	7.28	9.32	18.73	26.84	11.75	26.84	8.47	17.34	0.17	8.51	29.24	41.37	20.57	29.29
AFUB_098340	108.59	166.31	139.54	161.36	164.25	138.16	136.51	132.76	142.92	140.17	138.25	152.10	148.56	163.27	64.96	62.77	77.43	61.66	9.47	17.49	149.86	179.10	128.69	152.85	129.91	141.15	109.78	122.63	119.52	144.15	33.91	32.54	32.02	31.94	33.50	36.42	30.95	38.98	30.74	25.17	40.03	19.54	32.42	45.48	70.56	58.30	28.78	43.26	68.85	44.29	73.04	46.43	63.42	59.69	64.36	25.65	60.92	63.37	57.49	58.88	44.64	56.14	56.67	19.05	77.12	285.27	22.80	6.46	9.30	8.28	20.10	27.95	13.42	19.02	10.42	5.75	17.77	22.80	18.75	30.72	27.03	9.09	8.59	20.64	26.08	11.23	26.08	9.53	15.84	0.17	5.52	32.17	39.79	21.64	27.86
AFUB_098350	116.51	173.28	145.83	159.59	167.19	146.12	141.37	139.57	149.16	149.07	136.24	157.87	150.75	165.43	61.96	66.26	74.94	53.65	8.77	16.56	155.95	186.15	132.00	160.83	140.10	147.27	109.91	129.55	125.85	145.01	33.31	33.16	33.06	32.47	35.37	35.72	32.59	35.97	32.57	24.21	36.72	17.92	33.29	47.65	67.94	54.91	29.40	44.34	64.54	40.86	72.08	48.54	59.10	56.17	60.12	26.96	57.17	63.43	58.75	54.59	45.73	55.29	58.36	14.59	76.60	271.00	21.49	9.09	13.34	7.19	24.98	27.86	14.74	16.54	10.29	5.48	16.89	21.49	16.33	29.99	31.75	8.41	9.70	17.74	25.17	9.89	25.17	8.81	19.46	0.07	8.04	28.51	40.57	19.28	27.01
AFUB_098360	113.11	166.67	144.06	152.40	160.98	143.17	142.48	136.52	140.01	145.31	130.66	158.39	145.14	164.43	67.27	65.65	71.38	58.62	9.52	15.45	148.14	178.36	122.11	156.67	132.22	147.62	102.71	121.70	122.20	138.34	30.17	30.48	30.18	29.49	34.31	34.15	28.50	32.95	29.18	23.72	35.81	18.16	31.64	46.88	66.32	54.67	28.68	45.72	65.30	39.84	77.82	45.09	60.31	59.47	63.52	28.07	59.45	63.52	60.53	53.69	45.37	54.07	59.05	21.44	73.74	276.01	20.77	9.84	11.27	10.08	25.24	31.95	11.63	16.06	12.49	6.19	19.00	20.77	20.06	30.65	30.99	6.32	7.89	20.65	26.36	10.32	26.36	8.11	20.44	0.06	9.48	26.05	37.14	19.53	29.45
