"","pop"
"117535A-1.1","G003"
"84-NIH","G003"
"AF100-2-A","G004"
"AF100-2-B","G004"
"AF100-2-C","G004"
"AF100-3-A","G003"
"AF100-3-B","G005"
"AF100-3-C","G005"
"AF100-4-A","G005"
"AF100-4-B","G005"
"AF100-4-C","G005"
"AF100-5-A","G005"
"AF100-5-B","G005"
"AF100-5-C","G005"
"AF100-6-A","G005"
"AF100-6-B","G005"
"AF100-6-D","G005"
"AF100-7-A","G003"
"AF100-7-B","G003"
"AF100-7-C","G003"
"AF100-8-A","G003"
"AF100-8-B","G003"
"AF100-8-C","G003"
"AF100-9-A","G003"
"AF100-9-B","G003"
"AF100-9-C","G003"
"AFIS_13708_CDC-14","G005"
"AFIS_2101_CDC-1","G003"
"AFIS_2302_CDC-18","G005"
"AFIS_23107_CDC-12","G005"
"AFUG_031815-1869","G003"
"AFUG_082015-1200","G003"
"AFUG_100413-0667","G004"
"B10540_CDC-20","G004"
"B1821_CDC-8","G004"
"B5224_CDC-21","G005"
"B5257_CDC-28","G004"
"B5259_CDC-23","G004"
"B5269_CDC-24","G005"
"B5288_CDC-16","G003"
"B5289_CDC-25","G005"
"B5460_CDC-13","G004"
"B5461_CDC-2","G004"
"B6892_CDC-3","G005"
"B6893_CDC-4","G003"
"B72911_CDC-15","G005"
"B7444_CDC-7","G003"
"B7518_CDC-26","G005"
"B7586_CDC-30","G003"
"CS6A.1-1.1","Outlier002"
"COH_1192","G004"
"COH_371","G004"
"COH_400","G004"
"COH_694","G003"
"COH_762","G003"
"COH_880","G003"
"COH_885","G003"
"COH_913","G003"
"COH_934","G003"
"Mg18-1","G003"
"Moose_#3-1.1","G002"
"Obar-11","G002"
"Obar-12","G002"
"Obar-4","G002"
"Obar-AF293","G002"
"SAMD00013543","G004"
"SAMD00013544","G003"
"SAMD00013545","G005"
"SAMD00013546","G005"
"SAMD00013547","G005"
"SAMD00013548","G004"
"SAMD00013549","G003"
"SAMD00013550","G004"
"SAMD00013551","G005"
"SAMD00013552","G004"
"SAMD00013553","G004"
"SAMD00013554","G005"
"SAMD00013555","G004"
"SAMD00013556","G005"
"SAMD00013557","G005"
"SAMD00013558","G004"
"SAMD00013559","G005"
"SAMD00019242","G005"
"SAMD00019243","G005"
"SAMD00019244","G005"
"SAMD00019245","G005"
"SAMD00019246","G005"
"SAMD00019247","G005"
"SAMD00019248","G005"
"SAMD00019249","G005"
"SAMEA1709821","G005"
"SAMEA1709823","G005"
"SAMEA3267220","G001"
"SAMEA3267221","G001"
"SAMEA3267222","G005"
"SAMEA3267223","G001"
"SAMEA3267224","G005"
"SAMEA3267225","G001"
"SAMEA3267226","G002"
"SAMEA3267227","G001"
"SAMEA3267228","G001"
"SAMEA3267229","G001"
"SAMEA3267230","G001"
"SAMEA3267231","G001"
"SAMEA3267232","Outlier002"
"SAMEA3267233","G001"
"SAMEA3267234","G001"
"SAMEA3267235","G001"
"SAMEA3267236","G001"
"SAMEA3267237","G001"
"SAMEA3267238","G001"
"SAMEA3267239","G001"
"SAMEA3267240","G001"
"SAMEA3267241","G001"
"SAMEA3267242","G001"
"SAMEA3267243","G001"
"SAMN00115744","G004"
"SAMN00115745","G001"
"SAMN00254055","G001"
"SAMN00254056","G001"
"SAMN00254057","G003"
"SAMN00254058","G003"
"SAMN00717298","G003"
"SAMN00717299","G003"
"SAMN00717300","G003"
"SAMN00717301","G001"
"SAMN00717302","G003"
"SAMN00717303","G003"
"SAMN00717304","G003"
"SAMN00717305","G004"
"SAMN00717306","G004"
"SAMN00717307","G004"
"SAMN00717313","G004"
"SAMN00717314","G004"
"SAMN00717316","G001"
"SAMN00717317","G001"
"SAMN00717318","G004"
"SAMN01815885","G004"
"SAMN01815886","G004"
"SAMN01815887","G005"
"SAMN01815888","G001"
"SAMN01815889","G004"
"SAMN01815890","G001"
"SAMN01815891","G001"
"SAMN01815892","G001"
"SAMN01815893","G001"
"SAMN01815894","G004"
"SAMN01815895","G001"
"SAMN01815896","G001"
"SAMN01815897","G003"
"SAMN01815898","G001"
"SAMN01815899","Outlier001"
"SAMN01815903","G001"
"SAMN01815904","G003"
"SAMN01815905","G003"
"SAMN01815906","G001"
"SAMN01815907","G003"
"SAMN01815908","G004"
"SAMN01815909","G002"
"SAMN01815910","G004"
